oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
WES,200.0,294.0,20216.3,3,1,173.0,261.0,1,2,147.0,249.0,1,3,125.0,220.0,2,4,64.6,193.7,3.0,MID-2,125.0,220.0,27968.9,
WES,200.0,294.0,20266.7,3,1,160.0,282.0,1,2,149.0,250.0,1,3,79.0,222.0,1,3,90.6,150.0,1.7,HUN,79.0,222.0,31138.1,
WES,200.0,294.0,20313.5,3,1,131.0,241.0,1,2,137.0,231.0,1,3,102.0,199.0,1,3,87.7,187.6,2.1,MER-2,102.0,199.0,30832.1,
WES,200.0,294.0,20363.9,3,1,170.0,273.0,1,2,145.0,191.0,1,3,103.0,196.0,1,3,98.8,174.8,1.8,MER-2,103.0,196.0,32218.2,
WES,200.0,294.0,20368.0,2,1,146.0,302.0,1,2,90.0,297.0,1,NA, NA, NA, NA,2,66.5,98.8,1.5,SUS,90.0,297.0,28346.5,
WES,200.0,294.0,20411.8,3,1,125.0,265.0,2,2,124.0,232.0,1,3,117.0,220.0,1,4,76.4,222.1,2.9,SOM-1,117.0,220.0,29578.7,
WES,200.0,294.0,20466.0,3,1,176.0,274.0,2,2,157.0,276.0,1,3,154.0,178.0,1,4,89.0,140.3,1.6,MON-1,154.0,178.0,31150.2,
WES,200.0,294.0,20493.3,3,1,167.0,261.0,1,2,133.0,220.0,1,3,128.0,208.0,1,3,67.8,155.2,2.3,MID-1,128.0,208.0,28624.4,
WES,200.0,294.0,20513.9,3,1,172.0,260.0,1,2,160.0,266.0,1,3,167.0,171.0,1,3,91.6,132.1,1.4,MON-1,167.0,171.0,31509.7,
WES,200.0,294.0,20602.2,3,1,168.0,272.0,1,2,134.0,207.0,1,3,99.0,184.0,1,3,92.4,178.4,1.9,MER-1,99.0,184.0,31695.2,
WES,200.0,294.0,20648.3,3,1,157.0,272.0,1,2,127.0,236.0,1,3,130.0,217.0,1,3,68.6,147.4,2.1,MID-2,130.0,217.0,28884.9,
WES,200.0,294.0,20691.9,3,1,167.0,297.0,1,2,133.0,260.0,1,3,103.0,196.0,2,4,92.4,230.4,2.5,MER-2,103.0,196.0,31784.8,
WES,200.0,294.0,20740.7,3,1,166.0,297.0,1,2,118.0,215.0,1,3,121.0,199.0,1,3,87.3,162.9,1.9,MID-1,121.0,199.0,31211.5,
WES,200.0,294.0,20777.5,3,1,170.0,251.0,2,2,152.0,246.0,1,3,101.0,231.0,1,4,74.6,174.1,2.3,SOM-2,101.0,231.0,29725.2,
WES,200.0,294.0,20794.0,3,1,174.0,281.0,1,2,161.0,292.0,1,3,96.0,274.0,1,3,68.1,104.4,1.5,MOR-2,96.0,274.0,28969.2,
