oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
ATL,97.0,74.0,71674.2,3,1,51.0,128.0,1,2,50.0,123.0,1,3,11.0,236.0,1,3,117.3,193.3,1.6,NOR,11.0,236.0,85755.7,
ATL,118.0,74.0,52892.1,3,1,103.0,87.0,1,2,89.0,152.0,1,3,11.0,236.0,1,3,120.6,178.3,1.5,NOR,11.0,236.0,67362.0,
ATL,103.0,75.0,16851.9,3,1,73.0,122.0,1,2,77.0,155.0,1,3,11.0,236.0,1,3,116.1,195.2,1.7,NOR,11.0,236.0,30782.8,
ATL,111.0,75.0,59750.5,3,1,65.0,79.0,1,2,53.0,112.0,1,3,11.0,236.0,1,3,127.3,182.7,1.4,NOR,11.0,236.0,75029.4,
ATL,117.0,75.0,72130.9,3,1,84.0,135.0,1,2,61.0,135.0,1,3,11.0,236.0,1,3,122.5,206.0,1.7,NOR,11.0,236.0,86831.5,
ATL,95.0,76.0,17484.8,2,1,92.0,182.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,122.0,172.1,1.4,NOR,11.0,236.0,32129.0,
ATL,116.0,76.0,17101.7,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,114.8,114.8,1.0,NOR,11.0,236.0,30880.9,
ATL,115.0,78.0,16956.8,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,113.5,113.5,1.0,NOR,11.0,236.0,30576.0,
ATL,120.0,78.0,17767.8,2,1,81.0,145.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,115.4,161.7,1.4,NOR,11.0,236.0,31615.7,
ATL,110.0,80.0,71414.1,3,1,54.0,132.0,1,2,35.0,122.0,1,3,11.0,236.0,1,3,128.6,208.3,1.6,NOR,11.0,236.0,86850.1,
ATL,120.0,81.0,17351.0,3,1,65.0,104.0,1,2,47.0,128.0,1,3,11.0,236.0,1,3,122.1,201.6,1.7,NOR,11.0,236.0,31999.9,
ATL,85.0,85.0,18686.5,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,100.9,100.9,1.0,NOR,11.0,236.0,30793.9,
ATL,104.0,85.0,60112.3,2,1,67.0,76.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,124.6,129.3,1.0,NOR,11.0,236.0,75059.2,
ATL,120.0,86.0,17435.7,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,111.3,111.3,1.0,NOR,11.0,236.0,30786.0,
ATL,111.0,87.0,58492.6,2,1,104.0,194.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,125.6,172.0,1.4,NOR,11.0,236.0,73560.2,
ATL,104.0,88.0,69763.5,2,1,48.0,91.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,123.4,138.5,1.1,NOR,11.0,236.0,84575.8,
ATL,107.0,88.0,58380.4,3,1,92.0,76.0,1,2,70.0,84.0,1,3,11.0,236.0,1,3,123.4,139.7,1.1,NOR,11.0,236.0,73188.5,
ATL,71.0,89.0,18161.6,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,95.3,95.3,1.0,NOR,11.0,236.0,29593.2,
ATL,80.0,95.0,69305.5,3,1,85.0,134.0,1,2,79.0,146.0,1,3,11.0,236.0,1,3,99.3,148.4,1.5,NOR,11.0,236.0,81224.1,
ATL,82.0,97.0,73935.6,3,1,69.0,133.0,1,2,64.0,140.0,1,3,11.0,236.0,1,3,93.9,144.6,1.5,NOR,11.0,236.0,85206.2,
ATL,89.0,99.0,71179.2,3,1,70.0,128.0,1,2,55.0,128.0,1,3,11.0,236.0,1,3,99.8,142.2,1.4,NOR,11.0,236.0,83152.0,
ATL,86.0,101.0,74250.0,3,1,73.0,125.0,1,2,66.0,130.0,1,3,11.0,236.0,1,3,93.2,130.2,1.4,NOR,11.0,236.0,85432.8,
ATL,76.0,112.0,20704.7,2,1,77.0,119.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,84.8,88.2,1.0,NOR,11.0,236.0,30885.7,
BER-1,160.0,259.0,68897.8,3,1,155.0,259.0,2,2,152.0,251.0,1,3,11.0,236.0,1,4,93.2,103.2,1.1,NOR,11.0,236.0,80082.3,
BER-1,158.0,260.0,20310.8,1,1,11.0,236.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,89.4,178.7,2.0,NOR,11.0,236.0,31035.0,
BER-1,158.0,260.0,20715.4,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,89.4,89.4,1.0,NOR,11.0,236.0,31439.5,
BER-1,158.0,260.0,57707.6,3,1,154.0,259.0,1,2,148.0,262.0,2,3,11.0,236.0,1,4,90.2,104.1,1.2,NOR,11.0,236.0,68527.5,
BER-1,158.0,260.0,58448.2,3,1,157.0,264.0,1,2,157.0,265.0,1,3,11.0,236.0,1,3,92.4,94.9,1.0,NOR,11.0,236.0,69534.4,
BER-1,158.0,260.0,60590.4,3,1,156.0,259.0,3,2,157.0,252.0,3,3,11.0,236.0,1,7,93.7,107.9,1.2,NOR,11.0,236.0,71835.5,
BER-1,158.0,260.0,63309.7,3,1,157.0,262.0,4,2,154.0,267.0,1,3,11.0,236.0,1,6,92.6,99.6,1.1,NOR,11.0,236.0,74425.7,
BER-1,159.0,260.0,19829.7,1,1,11.0,236.0,5,NA, NA, NA, NA,NA, NA, NA, NA,5,90.0,449.8,5.0,NOR,11.0,236.0,30624.9,
BER-1,159.0,260.0,20219.4,1,1,11.0,236.0,7,NA, NA, NA, NA,NA, NA, NA, NA,7,90.0,629.7,7.0,NOR,11.0,236.0,31014.6,
BER-1,159.0,260.0,20678.6,1,1,11.0,236.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,90.0,179.9,2.0,NOR,11.0,236.0,31473.8,
BER-1,159.0,260.0,58447.1,3,1,154.0,252.0,1,2,147.0,252.0,1,3,11.0,236.0,1,3,92.0,104.3,1.1,NOR,11.0,236.0,69489.9,
BER-1,159.0,260.0,62225.4,3,1,153.0,262.0,1,2,99.0,279.0,1,3,11.0,236.0,1,3,96.5,131.5,1.4,NOR,11.0,236.0,73808.8,
BER-1,159.0,260.0,69008.6,3,1,155.0,259.0,3,2,153.0,255.0,1,3,11.0,236.0,1,5,91.1,102.1,1.1,NOR,11.0,236.0,79942.6,
BER-1,159.0,260.0,70855.3,3,1,160.0,264.0,1,2,138.0,270.0,1,3,11.0,236.0,1,3,95.0,106.4,1.1,NOR,11.0,236.0,82260.0,
BER-1,159.0,260.0,71777.6,3,1,149.0,268.0,1,2,150.0,271.0,1,3,11.0,236.0,1,3,95.6,106.2,1.1,NOR,11.0,236.0,83247.8,
BER-1,162.0,260.0,65604.0,3,1,159.0,260.0,1,2,154.0,270.0,1,3,11.0,236.0,1,3,96.7,101.2,1.0,NOR,11.0,236.0,77208.0,
BER-1,159.0,261.0,20062.4,1,1,11.0,236.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,90.1,180.1,2.0,NOR,11.0,236.0,30869.3,
BER-1,159.0,261.0,20869.4,2,1,141.0,283.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,100.0,107.1,1.1,NOR,11.0,236.0,32869.0,
BER-1,159.0,261.0,58737.5,3,1,157.0,255.0,2,2,159.0,253.0,1,3,11.0,236.0,1,4,94.9,102.4,1.1,NOR,11.0,236.0,70122.5,
BER-1,160.0,261.0,18868.2,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,90.6,90.6,1.0,NOR,11.0,236.0,29746.2,
BER-1,160.0,261.0,20216.0,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,90.6,90.6,1.0,NOR,11.0,236.0,31094.0,
BER-1,161.0,261.0,19130.8,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,91.2,91.2,1.0,NOR,11.0,236.0,30079.7,
BER-1,161.0,261.0,20705.1,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,91.2,91.2,1.0,NOR,11.0,236.0,31654.1,
BER-1,159.0,262.0,19771.3,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,90.2,90.2,1.0,NOR,11.0,236.0,30590.5,
BER-1,159.0,262.0,20734.1,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,90.2,90.2,1.0,NOR,11.0,236.0,31553.3,
BER-1,160.0,262.0,18787.0,2,1,154.0,266.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,92.0,95.1,1.0,NOR,11.0,236.0,29826.3,
BER-1,160.0,262.0,19761.8,2,1,153.0,265.0,1,2,11.0,236.0,2,NA, NA, NA, NA,3,91.5,186.1,2.0,NOR,11.0,236.0,30745.1,
BER-1,160.0,262.0,20304.9,2,1,116.0,254.0,1,2,11.0,236.0,2,NA, NA, NA, NA,3,90.8,208.3,2.3,NOR,11.0,236.0,31195.1,
BER-1,160.0,262.0,20698.1,1,1,11.0,236.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,90.8,181.5,2.0,NOR,11.0,236.0,31588.2,
BER-1,160.0,262.0,65782.6,3,1,150.0,262.0,1,2,150.0,264.0,2,3,11.0,236.0,1,4,92.3,109.0,1.2,NOR,11.0,236.0,76855.6,
BER-1,160.0,262.0,72225.7,3,1,157.0,255.0,2,2,157.0,252.0,1,3,11.0,236.0,1,4,94.5,106.2,1.1,NOR,11.0,236.0,83564.9,
BER-1,160.0,262.0,72912.4,3,1,157.0,261.0,2,2,149.0,260.0,2,3,11.0,236.0,1,5,90.8,108.0,1.2,NOR,11.0,236.0,83805.7,
BER-1,161.0,262.0,20802.1,2,1,142.0,291.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,106.0,112.1,1.1,NOR,11.0,236.0,33527.9,
BER-1,161.0,262.0,73018.0,3,1,155.0,254.0,2,2,155.0,255.0,1,3,11.0,236.0,1,4,93.7,108.9,1.2,NOR,11.0,236.0,84267.9,
BER-1,163.0,262.0,66124.3,3,1,156.0,252.0,2,2,144.0,254.0,1,3,11.0,236.0,1,4,95.2,119.5,1.3,NOR,11.0,236.0,77542.4,
BER-1,159.0,263.0,19281.0,2,1,153.0,268.0,1,2,11.0,236.0,2,NA, NA, NA, NA,3,92.0,185.2,2.0,NOR,11.0,236.0,30323.7,
BER-1,159.0,263.0,20899.2,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,90.3,90.3,1.0,NOR,11.0,236.0,31731.0,
BER-1,160.0,263.0,19090.9,2,1,157.0,262.0,1,2,11.0,236.0,2,NA, NA, NA, NA,3,90.9,183.6,2.0,NOR,11.0,236.0,29996.0,
BER-1,160.0,263.0,20377.9,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,90.9,90.9,1.0,NOR,11.0,236.0,31280.6,
BER-1,161.0,263.0,19870.8,1,1,11.0,236.0,3,NA, NA, NA, NA,NA, NA, NA, NA,3,91.4,274.3,3.0,NOR,11.0,236.0,30844.3,
BER-1,161.0,263.0,20292.8,2,1,152.0,252.0,1,2,11.0,236.0,2,NA, NA, NA, NA,3,93.7,191.4,2.0,NOR,11.0,236.0,31533.3,
BER-1,162.0,263.0,61865.1,3,1,163.0,266.0,1,2,153.0,282.0,1,3,11.0,236.0,1,3,102.8,106.5,1.0,NOR,11.0,236.0,74198.3,
BER-1,162.0,263.0,65726.3,3,1,158.0,266.0,2,2,151.0,266.0,1,3,11.0,236.0,2,5,93.1,196.9,2.1,NOR,11.0,236.0,76899.1,
BER-1,162.0,263.0,66041.9,3,1,158.0,256.0,1,2,153.0,253.0,1,3,11.0,236.0,4,6,94.1,381.1,4.0,NOR,11.0,236.0,77339.3,
BER-1,162.0,263.0,66619.0,3,1,156.0,259.0,2,2,152.0,257.0,1,3,11.0,236.0,2,5,92.5,199.7,2.2,NOR,11.0,236.0,77724.2,
BER-1,162.0,263.0,66873.8,3,1,158.0,257.0,1,2,163.0,249.0,1,3,11.0,236.0,1,3,101.5,104.8,1.0,NOR,11.0,236.0,79056.2,
BER-1,162.0,263.0,67418.7,3,1,157.0,260.0,1,2,148.0,267.0,1,3,11.0,236.0,1,3,94.6,104.3,1.1,NOR,11.0,236.0,78772.8,
BER-1,162.0,263.0,73244.0,3,1,159.0,265.0,1,2,150.0,250.0,1,3,11.0,236.0,1,3,96.5,104.8,1.1,NOR,11.0,236.0,84821.7,
BER-1,162.0,263.0,76819.8,3,1,154.0,268.0,1,2,150.0,266.0,1,3,11.0,236.0,1,3,93.7,105.1,1.1,NOR,11.0,236.0,88059.4,
BER-1,163.0,263.0,19530.7,2,1,156.0,251.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,95.8,101.0,1.1,NOR,11.0,236.0,31026.7,
BER-1,163.0,263.0,64260.4,3,1,155.0,257.0,1,2,156.0,252.0,1,3,11.0,236.0,1,3,96.6,106.5,1.1,NOR,11.0,236.0,75850.9,
BER-1,163.0,263.0,71355.4,3,1,157.0,261.0,1,2,154.0,254.0,1,3,11.0,236.0,1,3,94.8,104.1,1.1,NOR,11.0,236.0,82736.3,
BER-1,163.0,263.0,72393.2,3,1,159.0,258.0,2,2,117.0,280.0,1,3,11.0,236.0,1,4,101.2,129.7,1.3,NOR,11.0,236.0,84531.4,
BER-1,163.0,263.0,73522.5,3,1,150.0,264.0,1,2,140.0,271.0,1,3,11.0,236.0,1,3,95.3,115.1,1.2,NOR,11.0,236.0,84963.9,
BER-1,165.0,263.0,62607.4,3,1,149.0,256.0,1,2,150.0,249.0,1,3,11.0,236.0,1,3,98.5,116.6,1.2,NOR,11.0,236.0,74425.7,
BER-1,165.0,263.0,65901.5,3,1,155.0,263.0,1,2,147.0,267.0,1,3,11.0,236.0,1,3,95.1,110.9,1.2,NOR,11.0,236.0,77308.6,
BER-1,165.0,263.0,68567.4,3,1,151.0,255.0,1,2,138.0,261.0,1,3,11.0,236.0,1,3,95.9,119.7,1.2,NOR,11.0,236.0,80078.7,
BER-1,175.0,263.0,19614.0,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,99.7,99.7,1.0,NOR,11.0,236.0,31581.0,
BER-1,175.0,263.0,58534.9,3,1,167.0,253.0,1,2,148.0,253.0,2,3,11.0,236.0,3,6,101.9,341.4,3.3,NOR,11.0,236.0,70764.6,
BER-1,175.0,263.0,66121.9,3,1,167.0,253.0,1,2,145.0,249.0,1,3,11.0,236.0,1,3,101.9,127.3,1.2,NOR,11.0,236.0,78347.2,
BER-1,175.0,263.0,70126.6,3,1,173.0,262.0,4,2,170.0,254.0,1,3,11.0,236.0,1,6,102.5,111.3,1.1,NOR,11.0,236.0,82423.9,
BER-1,175.0,263.0,74537.3,3,1,170.0,255.0,1,2,145.0,262.0,2,3,11.0,236.0,1,4,103.1,141.4,1.4,NOR,11.0,236.0,86913.8,
BER-1,159.0,264.0,20523.4,1,1,11.0,236.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,90.4,180.8,2.0,NOR,11.0,236.0,31368.4,
BER-1,160.0,264.0,18747.6,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,91.0,91.0,1.0,NOR,11.0,236.0,29663.4,
BER-1,160.0,264.0,19600.0,2,1,150.0,264.0,1,2,11.0,236.0,3,NA, NA, NA, NA,4,91.1,278.9,3.1,NOR,11.0,236.0,30529.0,
BER-1,160.0,264.0,20094.7,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,91.0,91.0,1.0,NOR,11.0,236.0,31010.5,
BER-1,160.0,264.0,20556.2,2,1,133.0,239.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,95.3,113.0,1.2,NOR,11.0,236.0,31992.3,
BER-1,160.0,264.0,65352.9,3,1,156.0,264.0,5,2,141.0,273.0,1,3,11.0,236.0,1,7,94.0,115.6,1.2,NOR,11.0,236.0,76632.1,
BER-1,160.0,264.0,72155.4,3,1,158.0,262.0,20,2,156.0,257.0,2,3,11.0,236.0,1,23,92.8,134.6,1.4,NOR,11.0,236.0,83295.7,
BER-1,161.0,264.0,18787.1,2,1,156.0,265.0,1,2,11.0,236.0,1,NA, NA, NA, NA,2,91.8,94.6,1.0,NOR,11.0,236.0,29801.0,
BER-1,161.0,264.0,19526.2,2,1,156.0,264.0,1,2,11.0,236.0,2,NA, NA, NA, NA,3,91.6,186.1,2.0,NOR,11.0,236.0,30519.0,
BER-1,161.0,264.0,19797.4,3,1,155.0,267.0,1,2,116.0,254.0,1,3,11.0,236.0,1,3,92.6,123.2,1.3,NOR,11.0,236.0,30910.6,
BER-1,161.0,264.0,20154.7,2,1,158.0,264.0,1,2,11.0,236.0,2,NA, NA, NA, NA,3,91.6,184.9,2.0,NOR,11.0,236.0,31145.0,
BER-1,161.0,264.0,20612.3,2,1,119.0,277.0,2,2,11.0,236.0,2,NA, NA, NA, NA,4,95.7,235.9,2.5,NOR,11.0,236.0,32095.3,
BER-1,161.0,264.0,62272.4,3,1,157.0,263.0,2,2,155.0,257.0,1,3,11.0,236.0,1,4,93.6,102.0,1.1,NOR,11.0,236.0,73502.3,
BER-1,161.0,264.0,64294.5,3,1,157.0,264.0,1,2,153.0,255.0,1,3,11.0,236.0,1,3,94.3,101.2,1.1,NOR,11.0,236.0,75606.7,
BER-1,161.0,264.0,65945.3,3,1,154.0,248.0,4,2,143.0,233.0,1,3,11.0,236.0,1,6,100.9,155.0,1.5,NOR,11.0,236.0,78048.4,
BER-1,162.0,264.0,19100.8,1,1,11.0,236.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,92.1,184.3,2.0,NOR,11.0,236.0,30158.1,
BER-1,162.0,264.0,20000.6,1,1,11.0,236.0,1,NA, NA, NA, NA,NA, NA, NA, NA,1,92.1,92.1,1.0,NOR,11.0,236.0,31057.9,
BER-1,163.0,264.0,61541.0,3,1,152.0,265.0,2,2,148.0,258.0,1,3,11.0,236.0,1,4,94.7,115.7,1.2,NOR,11.0,236.0,72907.2,
