oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
ATL,112.0,62.0,22152.4,3,1,107.0,68.0,1,2,54.0,122.0,1,3,5.0,116.0,1,3,79.7,126.7,1.6,SOU,5.0,116.0,31716.9,
ATL,121.0,62.0,21436.8,3,1,107.0,68.0,1,2,61.0,70.0,1,3,5.0,116.0,2,4,80.2,199.0,2.5,SOU,5.0,116.0,31066.4,
ATL,122.0,62.0,63247.0,2,1,61.0,47.0,1,2,5.0,116.0,1,NA, NA, NA, NA,2,91.0,115.0,1.3,SOU,5.0,116.0,74168.1,
ATL,122.0,62.0,71202.2,3,1,60.0,63.0,1,2,45.0,71.0,1,3,5.0,116.0,1,3,83.5,161.0,1.9,SOU,5.0,116.0,81225.8,
ATL,122.0,62.0,76682.9,3,1,70.0,111.0,1,2,63.0,129.0,1,3,5.0,116.0,1,3,90.1,173.8,1.9,SOU,5.0,116.0,87497.4,
ATL,123.0,62.0,19893.8,3,1,30.0,115.0,1,2,26.0,119.0,1,3,5.0,116.0,1,3,80.3,209.6,2.6,SOU,5.0,116.0,29535.4,
ATL,123.0,62.0,20204.5,3,1,96.0,102.0,2,2,83.0,98.0,1,3,5.0,116.0,1,4,85.1,168.1,2.0,SOU,5.0,116.0,30422.1,
ATL,123.0,62.0,20525.4,3,1,92.0,101.0,1,2,63.0,131.0,1,3,5.0,116.0,1,3,90.9,162.6,1.8,SOU,5.0,116.0,31430.0,
ATL,123.0,62.0,21072.9,1,1,5.0,116.0,2,NA, NA, NA, NA,NA, NA, NA, NA,2,77.9,155.7,2.0,SOU,5.0,116.0,30416.2,
ATL,124.0,62.0,20342.5,3,1,68.0,116.0,1,2,62.0,129.0,1,3,5.0,116.0,2,4,90.3,258.3,2.9,SOU,5.0,116.0,31184.0,
